Site Code,Location*,01-01-2023,01-02-2023,01-03-2023,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023
A333,Eireann Quay Northbound South of Queens Quay,0,0,0,0,0,0,0,158,771,1283,1564
A334,Lower Jarvis St. Northbound South of The Esplanade,0,0,0,0,0,0,0,0,449,5248,3757
A335,Mount Pleasant Rd. Northbound North of South Dr.,0,0,0,0,0,0,0,809,1045,896,0
A336,Avenue Rd. Northbound North of Heath St. W.,0,0,0,0,0,0,152,361,308,147,0
A337,Mount Pleasant Rd. Northbound Near Balliol St.,0,0,0,0,0,0,24,42,50,72,29
A338,Bond St. Northbound North of Shuter St.,0,0,0,0,0,0,0,24,71,68,48
A339,Pembroke St. Southbound South of Dundas St. E.,0,0,0,0,0,0,0,237,360,241,241
A340,Durant Ave. Southbound South of Plains Rd.,0,0,0,0,0,0,0,134,242,137,151
A341,Coxwell Ave. Northbound North of Cosburn Ave.,0,0,0,0,0,0,0,736,686,872,663
A342,Denlow Blvd. Westbound Near Hamlet Gate,0,0,0,0,0,0,39,175,63,57,43
A343,Ranleigh Ave. Eastbound East of Yonge St.,0,0,0,0,0,0,16,108,103,61,52
A344,Brookbanks Dr. Westbound West of Parkwoods Village Dr.,0,0,0,0,0,0,133,856,751,502,379
A345,Gateway Blvd. Southbound Near Grenoble Dr.,0,0,0,0,0,0,0,180,340,157,155
A346,Don Mills Rd. Southbound South of Seneca Hill Dr.,0,0,0,0,0,0,0,844,1020,1392,1647
A347,Shaughnessy Blvd. Southbound Near Rochelle Cres.,0,0,0,0,0,0,0,355,2191,853,1579
A348,Hilda Ave. Northbound Near Crossen Dr.,0,0,0,0,0,0,65,854,741,356,467
A350,Victoria Park Ave. Northbound South of Kingston Rd.,0,0,0,0,0,0,0,290,492,482,458
A351,Bowmore Rd. Southbound South of Fairmount Cres.,0,0,0,0,0,0,0,3,4,7,6
A352,St. Clair Ave. E. Westbound West of Maybourne Ave.,0,0,0,0,0,0,0,272,259,566,787
A353,Mason Rd. Southbound South of Glenda Rd.,0,0,0,0,0,0,0,608,526,316,404
A354,Ellesmere Rd. Eastbound East of Warden Ave.,0,0,0,0,0,0,341,1324,848,473,84
A355,Birkdale Rd. Southbound Near Abbottswood Rd.,0,0,0,0,0,0,14,66,37,37,50
A356,Pharmacy Ave. Northbound Near 3200 Pharmacy Ave.,0,0,0,0,0,0,78,362,254,254,175
A357,Sheppard Ave. E. Eastbound East of Bay Mills Blvd.,0,0,0,0,0,0,200,1014,1133,997,831
A358,Finch Ave. E. Eastbound East of Brimley Rd.,0,0,0,0,0,0,0,146,203,277,275
A359,White Heather Blvd. Southbound Near Big Red Ave.,0,0,0,0,0,0,0,117,79,50,111
A360,Markham Rd. Southbound South of Greencedar Circuit,0,0,0,0,0,0,0,1024,1602,1074,1107
A361,Brimorton Dr. Westbound West of Gaitwin Place,0,0,0,0,0,0,0,178,322,633,552
A362,Military Trail Westbound Near Bobmar Rd.,0,0,0,0,0,0,0,283,306,329,227
A363,Nightstar Rd. Westbound Near Pogonia St.,0,0,0,0,0,0,0,139,158,168,131
